index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
257,Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,"$2,154,540 ","$3,957,025 "
258,That Darn Cat,14-Feb-97,Comedy,PG,"$18,301,828 ","$33,613,158 "
259,Jungle 2 Jungle,7-Mar-97,Comedy,PG,"$59,925,026 ","$110,058,379 "
260,The Sixth Man,28-Mar-97,Comedy,PG-13,"$14,765,099 ","$27,117,599 "
261,Grosse Pointe Blank,11-Apr-97,Black Comedy,R,"$28,084,357 ","$51,579,764 "
262,Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,"$29,235,353 ","$53,693,680 "
263,Gone Fishin',30-May-97,Comedy,PG,"$19,745,922 ","$36,265,379 "
264,Con Air,6-Jun-97,Action,R,"$101,117,573 ","$185,712,664 "
265,Hercules,13-Jun-97,Adventure,G,"$99,112,101 ","$182,029,412 "
266,George Of The Jungle,16-Jul-97,Comedy,PG,"$105,263,257 ","$193,326,632 "
267,Nothing To Lose,18-Jul-97,Comedy,R,"$44,480,039 ","$81,692,095 "
268,Air Bud,1-Aug-97,Comedy,PG,"$24,646,936 ","$45,266,588 "
269,G.I. Jane,22-Aug-97,Drama,R,"$48,169,156 ","$88,467,531 "
270,A Thousand Acres,19-Sep-97,Drama,R,"$7,928,412 ","$14,561,324 "
271,Washington Square,5-Oct-97,Drama,PG,"$1,775,644 ","$3,257,546 "
272,Rocket Man,10-Oct-97,Comedy,PG,"$15,448,043 ","$28,371,890 "
273,Playing God,17-Oct-97,Thriller/Suspense,R,"$4,166,918 ","$7,652,965 "
274,Flubber,26-Nov-97,Comedy,PG,"$92,993,801 ","$170,406,423 "
275,An American Werewolf in Paris,25-Dec-97,Horror,R,"$26,570,463 ","$48,546,161 "
276,Mr. Magoo,25-Dec-97,Comedy,PG,"$21,437,192 ","$39,145,784 "
277,Kundun,25-Dec-97,Drama,PG-13,"$5,686,694 ","$10,236,836 "
278,Deep Rising,30-Jan-98,Action,R,"$11,203,026 ","$20,136,775 "
279,Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,"$7,571,115 ","$13,608,633 "
280,An Alan Smithee Film: Burn Hollywood â€¦,27-Feb-98,Comedy,R,"$45,779 ","$82,277 "
281,Meet the Deedles,27-Mar-98,Comedy,PG,"$4,356,126 ","$7,829,877 "
282,He Got Game,1-May-98,Drama,R,"$21,567,853 ","$38,766,948 "
283,The Horse Whisperer,15-May-98,Drama,PG-13,"$75,383,563 ","$135,497,531 "
284,"Six Days, Seven Nights",12-Jun-98,Romantic Comedy,PG-13,"$74,339,294 ","$133,620,516 "
285,Mulan,19-Jun-98,Adventure,G,"$120,620,254 ","$216,807,832 "
286,Armageddon,1-Jul-98,Adventure,PG-13,"$201,578,182 ","$362,324,957 "
287,Jane Austen's Mafia,24-Jul-98,Comedy,PG-13,"$19,843,795 ","$35,668,055 "
288,The Parent Trap,29-Jul-98,Comedy,PG,"$66,308,518 ","$119,185,667 "
289,Firelight,4-Sep-98,Drama,R,"$784,419 ","$1,409,943 "
290,Simon Birch,11-Sep-98,Drama,PG,"$18,253,415 ","$32,809,442 "
291,Holy Man,9-Oct-98,Comedy,PG,"$12,069,719 ","$21,694,605 "
292,Beloved,16-Oct-98,Drama,R,"$22,852,487 ","$41,062,682 "
293,The Waterboy,6-Nov-98,Comedy,PG-13,"$161,491,646 ","$288,691,833 "
294,I'll Be Home For Christmas,13-Nov-98,Comedy,PG,"$12,214,338 ","$21,941,840 "
295,A Bug's Life,20-Nov-98,Adventure,G,"$162,798,565 ","$288,981,698 "
296,Enemy of the State,20-Nov-98,Action,R,"$111,549,836 ","$198,472,008 "
297,Rushmore,11-Dec-98,Black Comedy,R,"$17,105,219 ","$28,392,518 "
298,A Civil Action,25-Dec-98,Drama,PG-13,"$56,709,981 ","$94,139,530 "
299,Mighty Joe Young,25-Dec-98,Adventure,PG,"$50,632,037 ","$87,906,042 "
300,My Favorite Martian,12-Feb-99,Comedy,PG,"$36,850,101 ","$61,150,849 "
301,The Other Sister,26-Feb-99,Romantic Comedy,PG-13,"$27,807,627 ","$46,145,331 "
302,Doug's 1st Movie,26-Mar-99,Adventure,G,"$19,421,271 ","$32,228,598 "
303,Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,"$38,177,966 ","$63,354,375 "
304,Endurance,14-May-99,,PG,"$229,128 ","$380,218 "
305,Instinct,4-Jun-99,Drama,R,"$34,105,207 ","$56,595,842 "
306,Tarzan,16-Jun-99,Adventure,G,"$171,091,819 ","$283,900,254 "
