rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
264,Farmers Insurance Exchange,14055,0.18,367,0.00,21741,0,8,11787
265,Qurate Retail,14044,0.01,340,0.72,16249,1807,49,26745
266,Pacific Life,13936,0.39,1102,0.00,209486,0,37,3861
267,PulteGroup,13927,0.26,1946,0.38,13353,10116,17,6182
268,Fidelity National Information Services,13877,0.11,417,1.64,82931,61215,27,65000
269,IQVIA Holdings,13874,0.22,966,2.46,24689,44141,6,79000
270,Marriott International,13857,0.31,1099,0.00,25553,57515,23,120000
271,Berry Global Group,13850,0.18,733,0.31,17882,7832,10,47000
272,Ball,13811,0.17,878,0.50,19714,28909,12,24300
273,Group 1 Automotive,13802,0.27,552,0.93,5749,2860,13,13711
274,Leidos Holdings,13737,0.12,753,0.20,13261,14728,26,43000
275,Wayfair,13708,0.03,131,1.71,4570,11642,58,16681
276,Consolidated Edison,13676,0.12,1346,0.22,63116,33525,27,13871
277,Ameriprise Financial,13443,0.12,2760,0.80,175979,33213,24,12000
278,Xcel Energy,13431,0.17,1597,0.08,57851,39276,6,11321
279,O'Reilly Automotive,13328,0.15,2165,0.24,11719,45410,11,76158
280,Global Partners,13248,0.59,61,0.41,2831,927,81,2960
281,Discover Financial Services,13221,0.02,5449,3.78,110242,31077,48,16700
282,Rocket Companies,13176,0.18,308,0.56,32775,21906,88,26000
283,LKQ,13089,0.13,1091,0.71,12606,12941,17,46000
284,W.W. Grainger,13022,0.10,1043,0.50,6592,26358,26,23450
285,Quanta Services,12980,0.16,486,0.09,12855,18780,7,43700
286,Crown Holdings,12979,0.12,560,1.97,13858,15461,17,26000
287,Fox,12909,0.05,2150,1.15,22926,21423,40,9000
288,Sempra,12857,0.08,1317,0.67,72045,53088,33,15390
289,Markel,12846,0.32,2425,1.97,48449,20038,22,20300
290,Carvana,12814,1.29,135,0.00,7015,19550,193,21000
291,XPO Logistics,12806,0.21,336,2.06,8707,8357,101,44700
292,Baxter International,12784,0.10,1284,0.17,33521,39018,28,60000
293,Ecolab,12733,0.00,1130,0.00,21206,50548,56,47000
294,Tractor Supply,12731,0.20,997,0.33,7768,26172,3,34000
295,Andersons,12729,0.55,104,12.49,4569,1708,71,2334
296,Keurig Dr Pepper,12683,0.09,2146,0.62,50598,53748,29,27500
297,Universal Health Services,12642,0.09,992,0.05,13094,10843,27,78850
298,CSX,12522,0.18,3781,0.37,40531,81588,6,20919
299,Henry Schein,12401,0.23,631,0.56,8481,11960,1,21600
300,Sonic Automotive,12396,0.27,349,0.00,4975,1729,8,10200
301,eBay,12394,0.09,13608,1.40,26626,33642,25,10800
302,Textron,12382,0.06,746,1.41,15827,16091,37,33000
303,Jones Financial (Edward Jones),12373,0.22,1605,0.25,32208,0,8,50000
304,Community Health Systems,12368,0.05,230,0.55,15217,1599,45,58500
305,Mosaic,12357,0.42,1631,1.45,22036,24493,41,12525
306,Thor Industries,12317,0.51,660,1.96,6654,4331,62,31000
307,Dick's Sporting Goods,12293,0.28,1520,1.87,9042,7987,13,34300
308,Newmont,12222,0.06,1166,0.59,40564,62968,35,14400
309,Devon Energy,12206,1.40,2813,0.00,21025,39274,211,1600
310,Warner Bros. Discovery,12191,0.14,1006,0.18,34427,12701,20,11000
311,J.B. Hunt Transport Services,12168,0.26,761,0.50,6794,21053,4,33045
312,Alcoa,12152,0.31,429,0.00,15025,16603,18,12200
313,Peter Kiewit Sons',12149,0.03,753,0.09,6238,0,70,28800
314,Aramark,12096,0.06,91,0.00,14376,9656,79,248300
315,Vistra,12077,0.06,1274,3.00,29683,10435,41,5060
316,State Street,12030,0.00,2693,0.11,314624,31892,64,38784
317,Unum Group,12014,0.09,824,0.04,70116,6383,87,10200
318,Alleghany,12004,0.35,1035,9.17,32269,11396,21,13313
319,Boston Scientific,11888,0.20,1041,0.00,32229,63310,14,41000
320,Westlake,11778,0.57,2015,5.11,18459,15785,68,14550
321,Entergy,11743,0.16,1119,0.19,59454,23760,21,12369
322,International Flavors & Fragrances,11656,1.29,270,0.26,39658,33456,200,24000
323,DaVita,11619,0.01,979,0.27,17122,10893,52,69000
324,Mutual of Omaha Insurance,11459,0.03,579,0.17,49853,0,42,5739
325,Assurant,11410,0.13,1372,2.11,33912,10493,23,15600
326,Liberty Media,11400,0.22,398,0.00,44351,15239,0,6886
327,Hormel Foods,11386,0.19,909,0.00,12696,28089,10,20000
328,Icahn Enterprises,11328,0.85,518,0.00,27746,15237,125,19536
329,Republic Services,11295,0.11,1290,0.33,24955,41842,32,35000
330,Mohawk Industries,11201,0.17,1033,1.00,14225,8082,9,43000
331,Conagra Brands,11185,0.01,1299,0.55,22196,16104,48,18600
332,Norfolk Southern,11142,0.14,3005,0.49,38493,68389,25,18100
333,AES,11141,0.15,409,9.89,32963,17172,20,8450
334,AGCO,11138,0.22,897,1.10,9182,10885,3,23300
335,Caesars Entertainment,11110,2.20,1019,0.00,38031,16565,340,49000
336,Equitable Holdings,11036,0.11,439,0.00,292262,12041,92,10000
337,Advance Auto Parts,10998,0.09,616,0.25,12194,12645,36,54500
338,Biogen,10982,0.18,1556,0.61,23877,30950,110,9610
339,Auto0Owners Insurance,10980,0.24,1318,0.59,32487,0,2,6441
340,Booking Holdings,10958,0.61,1165,18.75,23641,96023,84,20199
341,Amphenol,10876,0.27,1591,0.32,14678,45130,8,90000
342,Quest Diagnostics,10788,0.14,1995,0.39,13611,16349,18,44500
343,FirstEnergy,10758,0.03,1283,0.19,45432,26182,49,12395
344,DCP Midstream,10707,0.70,391,0.00,13380,6993,98,1788
345,Ally Financial,10690,0.01,3060,1.82,182114,14412,58,10500
346,Delek US Holdings,10648,0.46,204,0.00,6728,1500,51,3312
347,Williams,10627,0.38,1517,6.19,47612,40670,32,4783
348,Newell Brands,10589,0.13,572,0.00,14179,8902,23,32000
349,Eastman Chemical,10476,0.24,857,0.79,15519,14450,6,14000
350,Air Products & Chemicals,10323,0.17,2099,0.11,26859,55409,10,20750
351,Thrivent Financial for Lutherans,10313,0.27,2530,2.97,116525,0,18,3256
352,Molson Coors Beverage,10280,0.07,1006,0.00,27619,11632,38,16300
353,Interpublic Group,10241,0.13,953,1.71,19909,13966,19,55600
354,Weyerhaeuser,10201,0.35,2607,2.27,17652,28315,33,9214
355,Altice USA,10091,0.02,990,1.27,33215,5674,49,9000
356,Raymond James Financial,9910,0.21,1403,0.72,61891,22818,11,15000
357,EMCOR Group,9904,0.13,384,1.89,5441,5932,13,34000
358,Eversource Energy,9863,0.11,1221,0.01,48492,30403,20,9227
359,Yum China Holdings,9853,0.19,990,0.26,13223,17679,4,298500
360,Asbury Automotive Group,9838,0.38,532,1.09,8003,3715,45,14200
361,Owens & Minor,9785,0.12,222,6.42,3537,3376,16,17300
362,Public Service Enterprise Group,9722,0.01,648,1.34,48999,35146,44,12684
363,United Rentals,9716,0.14,1386,0.56,20292,25643,11,20400
364,MGM Resorts International,9680,0.88,1254,0.00,40899,18258,153,60500
365,Ryder System,9663,0.15,519,0.00,13834,4055,8,42800
366,Intuit,9633,0.25,2062,0.13,15516,135988,14,17350
367,Cincinnati Financial,9630,0.28,2946,1.42,31387,21813,19,5166
368,Erie Insurance Group,9620,0.11,1130,0.04,27297,0,21,5805
369,Univar Solutions,9536,0.15,461,7.71,6778,5460,7,9450
370,Huntington Ingalls Industries,9524,0.02,544,0.22,10627,7991,43,44000
371,W.R. Berkley,9456,0.17,1023,0.93,32086,17659,1,7681
372,Western & Southern Financial Group,9442,0.17,361,0.77,62877,0,2,2538
373,Insight Enterprises,9436,0.13,219,0.27,4689,3745,13,11624
374,News Corp.,9358,0.04,330,0.00,16771,13128,37,24000
375,American Tower,9357,0.16,2568,0.52,69888,114527,0,6378
376,Old Republic International,9342,0.30,1534,1.75,24982,7973,25,9600
377,Burlington Stores,9322,0.62,409,0.00,7090,12113,94,38599
378,Avis Budget Group,9313,0.72,1285,0.00,22600,14157,120,18500
379,ODP,9267,0.05,208,0.00,4865,2222,67,26000
380,VF,9239,0.21,408,0.40,13754,22113,117,33600
381,Bed Bath & Beyond,9233,0.17,151,0.00,6457,2171,101,37600
382,Seaboard,9229,0.30,570,1.01,7503,4882,24,13200
383,First American Financial,9221,0.30,1241,0.78,16451,7087,26,22233
384,Intercontinental Exchange,9168,0.11,4058,0.94,193502,74045,19,8858
385,PVH,9155,0.28,952,0.00,12397,5210,19,25000
386,Apollo Global Management,9124,3.32,1839,10.74,30502,37194,552,2153
387,Jefferies Financial Group,9040,0.30,1674,1.16,60404,7934,32,5556
388,Hershey,8971,0.10,1478,0.16,10412,44462,18,17805
389,NVR,8970,0.19,1237,0.37,5835,15011,6,6600
390,Foot Locker,8958,0.19,893,1.77,8135,2850,5,33244
391,Dana,8945,0.26,197,0.00,7632,2544,17,40200
392,SpartanNash,8931,0.05,74,0.03,2207,1185,63,13300
393,Olin,8911,0.55,1297,0.00,8518,8062,79,7750
394,Chewy,8891,0.24,74,0.00,2086,17147,9,21300
395,Jackson Financial,8848,0.00,3183,0.00,375484,3895,0,3150
396,Activision Blizzard,8803,0.09,2699,0.23,25056,62560,23,9800
397,Toll Brothers,8790,0.24,834,0.87,11538,5515,14,5100
398,Carlyle Group,8782,1.99,2975,7.54,21250,17428,360,1850
399,Graybar Electric,8767,0.21,262,1.15,3069,0,0,8800
400,Ovintiv,8658,0.42,1416,0.00,14055,13988,58,1713
401,UFP Industries,8636,0.68,536,1.17,3245,4791,117,15000
402,Ulta Beauty,8631,0.40,986,4.61,4764,20838,49,28500
